"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
scr_day1,saliva_collection_log,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9743%; height: 145.091px;"" border=""1""><colgroup><col style=""width: 24.9292%;""><col style=""width: 24.9292%;""><col style=""width: 24.9292%;""><col style=""width: 24.9292%;""></colgroup> <tbody> <tr style=""height: 24.1818px;""> <td>Sample Number</td> <td>When to Collect</td> <td>Time of Collection</td> <td> </td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 1</td> <td>Immediately upon awakening: Prior to getting up out of bed and moving around.</td> <td>{sal_day1_s1_time}</td> <td>{sal_day1_s1_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 2</td> <td>30 minutes after awakening. please feel free to brush your teeth after collection</td> <td>{sal_day1_s2_time}</td> <td>{sal_day1_s2_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 3</td> <td>before lunch or around noon if no lunch</td> <td>{sal_day1_s3_time}</td> <td>{sal_day1_s3_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 4</td> <td>around 3 PM</td> <td>{sal_day1_s4_time}</td> <td>{sal_day1_s4_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 5</td> <td>around 9 PM or bedtime</td> <td>{sal_day1_s5_time}</td> <td>{sal_day1_s5_refrain}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
sal_day1_activity,saliva_collection_log,,yesno,"Did you participate in any vigorous physical activity today? (e.g. any exercise where you can't say more than a few words without pausing for breath)",,,,,,,,,,,,,
sal_day1_activity_t1,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day1_activity] ='1'",,,,,,
sal_day1_activity_t2,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day1_activity] ='1'",,,,,,
sal_day1_activity_t3,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day1_activity] ='1'",,,,,,
sal_day1_activity_t4,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day1_activity] ='1'",,,,,,
sal_day1_caffeine,saliva_collection_log,,yesno,"Did you eat or drink anything with caffeine today?",,,,,,,,,,,,,
sal_day1_caffeine_t1,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day1_caffeine] = '1'",,,,,,
sal_day1_caffeine_t2,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day1_caffeine] = '1'",,,,,,
sal_day1_caffeine_t3,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day1_caffeine] = '1'",,,,,,
sal_day1_caffeine_t4,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day1_caffeine] = '1'",,,,,,
sal_day1_nicotine,saliva_collection_log,,yesno,"Did you use nicotine today?",,,,,,,,,,,,,
sal_day1_nicotine_t1,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day1_nicotine] = '1'",,,,,,
sal_day1_nicotine_t2,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day1_nicotine] = '1'",,,,,,
sal_day1_nicotine_t3,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day1_nicotine] = '1'",,,,,,
sal_day1_nicotine_t4,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day1_nicotine] = '1'",,,,,,
sal_day1_alcohol,saliva_collection_log,,yesno,"Did you drink alcohol today? ",,,,,,,,,,,,,
sal_day1_alcohol_t1,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day1_alcohol] = '1'",,,,,,
sal_day1_alcohol_t2,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day1_alcohol] = '1'",,,,,,
sal_day1_alcohol_t3,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day1_alcohol] = '1'",,,,,,
sal_day1_alcohol_t4,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day1_alcohol] = '1'",,,,,,
sal_day1_medication,saliva_collection_log,,yesno,"Did you take any prescription or over the counter medications today?",,,,,,,,,,,,,
sal_day1_medication_1,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t1,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_2,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t2,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_3,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t3,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_4,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t4,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_5,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t5,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_6,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t6,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_7,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t7,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_8,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t8,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_9,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t9,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_10,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t10,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_11,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t11,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_12,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t12,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_13,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t13,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_14,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t14,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
sal_day1_medication_15,saliva_collection_log,,text,"Medication Name",,,,,,,,,,,,,
sal_day1_medication_t15,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day1_medication] = '1'",,,,,,
scr_day2,saliva_collection_log,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9743%; height: 145.091px;"" border=""1""><colgroup><col style=""width: 24.9292%;""><col style=""width: 24.9292%;""><col style=""width: 24.9292%;""><col style=""width: 24.9292%;""></colgroup> <tbody> <tr style=""height: 24.1818px;""> <td>Sample Number</td> <td>When to Collect</td> <td>Time of Collection</td> <td> </td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 1</td> <td>Immediately upon awakening: Prior to getting up out of bed and moving around.</td> <td>{sal_day2_s1_time}</td> <td>{sal_day2_s1_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 2</td> <td>30 minutes after awakening. please feel free to brush your teeth after collection</td> <td>{sal_day2_s2_time}</td> <td>{sal_day2_s2_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 3</td> <td>before lunch or around noon if no lunch</td> <td>{sal_day2_s3_time}</td> <td>{sal_day2_s3_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 4</td> <td>around 3 PM</td> <td>{sal_day2_s4_time}</td> <td>{sal_day2_s4_refrain}</td> </tr> <tr style=""height: 24.1818px;""> <td>Sample 5</td> <td>around 9 PM or bedtime</td> <td>{sal_day2_s5_time}</td> <td>{sal_day2_s5_refrain}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
sal_day1_s1_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day1_s2_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day1_s3_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day1_s4_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day1_s5_refrain,saliva_collection_log,,checkbox,d1s5refrain,"1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day2_s1_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day2_s2_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day2_s3_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day2_s4_refrain,saliva_collection_log,,checkbox,"Please indicate if you exercised, brushed teeth, or consumed alcohol, caffeine, nicotine, or food 1 hour prior to collection.","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day2_s5_refrain,saliva_collection_log,,checkbox,"DAy2s5 refrain","1, Physical activity | 2, Caffeine | 3, Nicotine | 4, Alcohol | 5, Medications today | 6, Brush Teeth | 7, Food",,,,,,,,,,,,
sal_day1_s1_time,saliva_collection_log,,text,,,,datetime_mdy,,,,,,,,,,
sal_day1_s2_time,saliva_collection_log,,text,"Day 1 Sample 2 Time",,,datetime_mdy,,,,,,,,,,
sal_day1_s3_time,saliva_collection_log,,text,"Day 1 Sample 3 Time",,,datetime_mdy,,,,,,,,,,
sal_day1_s4_time,saliva_collection_log,,text,"Day 1 Sample 4 Time",,,datetime_mdy,,,,,,,,,,
sal_day1_s5_time,saliva_collection_log,,text,"Day 1 Sample 5 Time",,,datetime_mdy,,,,,,,,,,
sal_day2_s1_time,saliva_collection_log,,text,"Day 2 Sample 1 Time",,,datetime_mdy,,,,,,,,,,
sal_day2_s2_time,saliva_collection_log,,text,"Day 2 Sample 2 Time",,,datetime_mdy,,,,,,,,,,
sal_day2_s3_time,saliva_collection_log,,text,"Day 2 Sample 3 Time",,,datetime_mdy,,,,,,,,,,
sal_day2_s4_time,saliva_collection_log,,text,"Day 2 Sample 4 Time",,,datetime_mdy,,,,,,,,,,
sal_day2_s5_time,saliva_collection_log,,text,"Day 2 Sample 5 Time",,,datetime_mdy,,,,,,,,,,
sal_day2_activity,saliva_collection_log,,yesno,"Did you participate in any vigorous physical activity today? (e.g. any exercise where you can't say more than a few words without pausing for breath)",,,,,,,,,,,,,
sal_day2_activity_t1,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day2_activity] = '1'",,,,,,
sal_day2_activity_t2,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day2_activity] = '1'",,,,,,
sal_day2_activity_t3,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day2_activity] = '1'",,,,,,
sal_day2_activity_t4,saliva_collection_log,,text,"Activity Time",,,,,,,"[sal_day2_activity] = '1'",,,,,,
sal_day2_caffeine,saliva_collection_log,,yesno,"Did you eat or drink anything with caffeine today?",,,,,,,,,,,,,
sal_day2_caffeine_t1,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day2_caffeine] = '1'",,,,,,
sal_day2_caffeine_t2,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day2_caffeine] = '1'",,,,,,
sal_day2_caffeine_t3,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day2_caffeine] = '1'",,,,,,
sal_day2_caffeine_t4,saliva_collection_log,,text,"Caffeine Time",,,time,,,,"[sal_day2_caffeine] = '1'",,,,,,
sal_day2_nicotine,saliva_collection_log,,yesno,"Did you use nicotine today?",,,,,,,,,,,,,
sal_day2_nicotine_t1,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day2_nicotine] = '1'",,,,,,
sal_day2_nicotine_t2,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day2_nicotine] = '1'",,,,,,
sal_day2_nicotine_t3,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day2_nicotine] = '1'",,,,,,
sal_day2_nicotine_t4,saliva_collection_log,,text,"Nicotine Time",,,time,,,,"[sal_day2_nicotine] = '1'",,,,,,
sal_day2_alcohol,saliva_collection_log,,yesno,"Did you drink alcohol today? ",,,,,,,,,,,,,
sal_day2_alcohol_t1,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day2_alcohol] = '1'",,,,,,
sal_day2_alcohol_t2,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day2_alcohol] = '1'",,,,,,
sal_day2_alcohol_t3,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day2_alcohol] = '1'",,,,,,
sal_day2_alcohol_t4,saliva_collection_log,,text,"Alcohol Time",,,time,,,,"[sal_day2_alcohol] = '1'",,,,,,
sal_day2_medication,saliva_collection_log,,yesno,"Did you take any prescription or over the counter medications today?",,,,,,,,,,,,,
sal_day2_medication_1,saliva_collection_log,,text,"Medication Name",,,,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_t1,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_2,saliva_collection_log,,text,"Medication Name",,,,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_t2,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_3,saliva_collection_log,,text,"Medication Name",,,,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_t3,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_4,saliva_collection_log,,text,"Medication Name",,,,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_t4,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_5,saliva_collection_log,,text,"Medication Name",,,,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_t5,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_6,saliva_collection_log,,text,"Medication Name",,,,,,,"[sal_day2_medication] = '1'",,,,,,
sal_day2_medication_t6,saliva_collection_log,,text,"Medication Time",,,time,,,,"[sal_day2_medication] = '1'",,,,,,
